Apo_Name1;Apo_Name2;PLZ;Ort;source
Hirsch-Apotheke;;48301;Nottuln;akwl
Gerburgis-Apotheke;;48301;Nottuln;akwl
Rathaus-Apotheke;;48356;Nordwalde;akwl
Ludgerus-Apotheke;;48356;Nordwalde;akwl
Bären-Apotheke;;59394;Nordkirchen;akwl
Schwanen-Apotheke;;59394;Nordkirchen;akwl
Rathaus-Apotheke;;33039;Nieheim;akwl
St.Nikolaus-Apotheke;;33039;Nieheim;akwl
Neue Apotheke;;57290;Neunkirchen;akwl
Hellerthaler-Hirsch-Apotheke;;57290;Neunkirchen;akwl
Glückauf-Apotheke;;57290;Neunkirchen;akwl
Apotheke am Stadttor;;58809;Neuenrade;akwl
Gertruden-Apotheke;;58809;Neuenrade;akwl
Rosen-Apotheke;;48485;Neuenkirchen;akwl
Wigbold Apotheke;;48485;Neuenkirchen;akwl
Löwen-Apotheke OHG;;48485;Neuenkirchen;akwl
Johannland-Apotheke;;57250;Netphen;akwl
Sieg-Apotheke;;57250;Netphen;akwl
Rathaus-Apotheke;;57250;Netphen;akwl
Martini-Apotheke OHG;;57250;Netphen;akwl
Deuzer-Apotheke;;57250;Netphen;akwl
Phönix-Apotheke;;58769;Nachrodt-Wiblingwerde;akwl
Margareten-Apotheke;;48155;Münster;akwl
Apotheke am Paulushof;;48163;Münster;akwl
Lamberti-Apotheke am Bült;;48143;Münster;akwl
Hohenzollern Apotheke Im Marktkauf;;48155;Münster;akwl
easy-Apotheke Fried.-Ebert-Str;;48153;Münster;akwl
germania-DIE APOTHEKE;;48159;Münster;akwl
Rose-Apotheke Roxel;;48161;Münster;akwl
Von-Galen-Apotheke;;48159;Münster;akwl
Heide-Apotheke;;48157;Münster;akwl
klara apotheke im FranziskusCarré;;48145;Münster;akwl
Vital-Apotheke OHG;;48161;Münster;akwl
Gievenbecker Markt-Apotheke OHG;;48161;Münster;akwl
Kiepenkerl Apotheke Meesenstiege;;48165;Münster;akwl
Forum-Apotheke;;48161;Münster;akwl
Ludgeri-Apotheke am Erbdrostenhof;;48143;Münster;akwl
Apotheke am Clemenshospital;;48153;Münster;akwl
Brunnen Apotheke;;48163;Münster;akwl
Herz Apotheke;;48153;Münster;akwl
Apotheke im AuenViertel;;48161;Münster;akwl
Jahreszeiten-Apotheke;;48149;Münster;akwl
Bären-Apotheke in Albachten;;48163;Münster;akwl
Kiepenkerl Apotheke;;48143;Münster;akwl
Park-Apotheke;;48155;Münster;akwl
Ida-Apotheke;;48167;Münster;akwl
Hohenzollern Apotheke OHG;;48145;Münster;akwl
Regenbogen-Apotheke;;48155;Münster;akwl
Pluggendorf-Apotheke;;48151;Münster;akwl
Bonifatius-Apotheke;;48149;Münster;akwl
Rüschhaus-Apotheke;;48161;Münster;akwl
Kirch-Apotheke;;48165;Münster;akwl
Apotheke Am Burloh;;48159;Münster;akwl
Franziskus-Apotheke;;48145;Münster;akwl
Apotheke auf der Geist;;48151;Münster;akwl
Apotheke am Ring;;48147;Münster;akwl
Apotheke am Ludgeriplatz;;48151;Münster;akwl
West-Apotheke;;48149;Münster;akwl
Werse-Apotheke;;48157;Münster;akwl
Viktoria-Apotheke;;48145;Münster;akwl
Turm-Apotheke;;48147;Münster;akwl
Thomas-Apotheke;;48147;Münster;akwl
Süd-Apotheke;;48153;Münster;akwl
Stern-Apotheke;;48143;Münster;akwl
St.Georg-Apotheke;;48153;Münster;akwl
Sonnen-Apotheke;;48143;Münster;akwl
Sebastian-Apotheke;;48161;Münster;akwl
Rosen-Apotheke;;48165;Münster;akwl
Pictorius-Apotheke;;48153;Münster;akwl
Phoenix-Apotheke;;48151;Münster;akwl
Paulus-Apotheke;;48159;Münster;akwl
Osttor-Apotheke;;48165;Münster;akwl
Nord Apotheke;;48147;Münster;akwl
Nikolaus-Apotheke;;48167;Münster;akwl
Neutor-Apotheke;;48149;Münster;akwl
Markus Apotheke;;48143;Münster;akwl
Partus Markt-Apotheke;;48157;Münster;akwl
Marien-Apotheke;;48147;Münster;akwl
Mariannen-Apotheke;;48165;Münster;akwl
Ludgeri-Apotheke;;48143;Münster;akwl
Löwen-Apotheke;;48143;Münster;akwl
Linden-Apotheke;;48167;Münster;akwl
Kronen-Apotheke;;48153;Münster;akwl
Kreuz-Apotheke;;48147;Münster;akwl
Kosmas-Apotheke oHG;;48167;Münster;akwl
Kappenberg-Apotheke;;48151;Münster;akwl
Hubertus Apotheke Handorf;;48157;Münster;akwl
Hubertus-Apotheke;;48155;Münster;akwl
Hansa Apotheke;;48155;Münster;akwl
Hafen-Neustadt-Apotheke;;48155;Münster;akwl
Fortuna-Apotheke;;48145;Münster;akwl
Flora-Apotheke;;48149;Münster;akwl
Erpho-Apotheke;;48145;Münster;akwl
Engel-Apotheke;;48167;Münster;akwl
Engel-Apotheke;;48145;Münster;akwl
Einhorn-Apotheke;;48159;Münster;akwl
Dreilinden-Apotheke;;48159;Münster;akwl
Königs-Apotheke;;48143;Münster;akwl
Davert-Apotheke;;48163;Münster;akwl
Coerde-Apotheke;;48157;Münster;akwl
Clemens-Apotheke;;48165;Münster;akwl
Christophorus-Apotheke;;48143;Münster;akwl
DocMorris-Apotheke;;48151;Münster;akwl
Behring-Apotheke;;48159;Münster;akwl
Bahnhofs-Apotheke;;48143;Münster;akwl
Annette-von-Droste-Apotheke;;48161;Münster;akwl
Annette-Apotheke;;48161;Münster;akwl
Annen-Apotheke;;48163;Münster;akwl
Äskulap-Apotheke;;48167;Münster;akwl
Adler-Apotheke;;48143;Münster;akwl
Bären-Apotheke am Möhnesee;;59519;Möhnesee;akwl
Möhnesee-Apotheke;;59519;Möhnesee;akwl
Nord-Apotheke im Grillepark;;32423;Minden;akwl
Kürzel's Neue-Apotheke;;32425;Minden;akwl
Königstor Apotheke;;32427;Minden;akwl
Apotheke am Bürgerpark;;32429;Minden;akwl
Herz-Apotheke;;32423;Minden;akwl
West-Apotheke;;32427;Minden;akwl
Weser-Apotheke;;32423;Minden;akwl
Viktoria-Apotheke;;32423;Minden;akwl
Stifts-Apotheke;;32425;Minden;akwl
Sonnen-Apotheke;;32427;Minden;akwl
Scharn Apotheke;;32423;Minden;akwl
Nord-Apotheke;;32425;Minden;akwl
Marien-Apotheke;;32423;Minden;akwl
Linden-Apotheke;;32423;Minden;akwl
Kuhlenkamp-Apotheke;;32425;Minden;akwl
Driften-Apotheke;;32425;Minden;akwl
Brandsche Apotheke;;32427;Minden;akwl
Bahnhof-Apotheke;;32423;Minden;akwl
Apotheke am Preussenmuseum;;32423;Minden;akwl
Sonnen-Apotheke;;49497;Mettingen;akwl
Engel-Apotheke;;49497;Mettingen;akwl
Barbara-Apotheke;;49497;Mettingen;akwl
Malteser-Apotheke;;48629;Metelen;akwl
Bären-Apotheke;;59872;Meschede;akwl
Apotheke am Brunnen;;59872;Meschede;akwl
Ruhr-Apotheke;;59872;Meschede;akwl
Walburga-Apotheke;;59872;Meschede;akwl
St.Nikolaus-Apotheke;;59872;Meschede;akwl
Nord-Apotheke;;59872;Meschede;akwl
Marien-Apotheke;;59872;Meschede;akwl
Hirsch-Apotheke;;59872;Meschede;akwl
Glocken-Apotheke;;59872;Meschede;akwl
Gartenstadt-Apotheke;;59872;Meschede;akwl
nano apotheke;;58706;Menden;akwl
St. Vincenz-Apotheke;;58706;Menden;akwl
Lahrfeld-Apotheke;;58706;Menden;akwl
Dorf-Apotheke;;58708;Menden;akwl
Kolping-Apotheke;;58706;Menden;akwl
Apotheke Köster Lendringsen;;58710;Menden;akwl
Sonnen-Apotheke;;58706;Menden;akwl
Apotheke Köster;;58706;Menden;akwl
Neue Apotheke;;58706;Menden;akwl
Marien-Apotheke;;58710;Menden;akwl
Kreuz-Apotheke;;58706;Menden;akwl
Heide-Apotheke;;58708;Menden;akwl
Apotheke im multimedicum;;58540;Meinerzhagen;akwl
Apotheke zum Alten Teich;;58540;Meinerzhagen;akwl
Meinhardus-Apotheke;;58540;Meinerzhagen;akwl
Löwen-Apotheke;;58540;Meinerzhagen;akwl
Ihne-Apotheke;;58540;Meinerzhagen;akwl
Hirsch-Apotheke;;58540;Meinerzhagen;akwl
Birkeshöh-Apotheke;;58540;Meinerzhagen;akwl
Hanse-Apotheke;;59964;Medebach;akwl
Priv. Marien-Apotheke;;59964;Medebach;akwl
Cosmas-Apotheke;;59964;Medebach;akwl
Hirsch-Apotheke Westheim;;34431;Marsberg;akwl
Marien-Apotheke;;34431;Marsberg;akwl
Apotheke am Burghof;;34431;Marsberg;akwl
Sorgenfreys-Apotheke;;34431;Marsberg;akwl
Diemeltal-Apotheke;;34431;Marsberg;akwl
Finken-Apotheke am Marien Hospital;;45768;Marl;akwl
Stern-Apotheke am Kaufland;;45768;Marl;akwl
Finken-Apotheke im Klinikpark;;45770;Marl;akwl
Dorf-Apotheke;;45768;Marl;akwl
Markt-Apotheke;;45772;Marl;akwl
Arkaden-Apotheke;;45772;Marl;akwl
Finken-Apotheke;;45772;Marl;akwl
Hermann Brassert-Apotheke;;45768;Marl;akwl
Westfalen-Apotheke;;45770;Marl;akwl
Ursula-Apotheke;;45768;Marl;akwl
Stern-Apotheke;;45768;Marl;akwl
Max-Reger-Apotheke;;45772;Marl;akwl
Loe-Apotheke;;45770;Marl;akwl
Haard-Apotheke;;45770;Marl;akwl
Fortuna-Apotheke;;45768;Marl;akwl
Falken-Apotheke;;45770;Marl;akwl
Engel-Apotheke oHG;;45770;Marl;akwl
Elisabeth-Apotheke;;45768;Marl;akwl
Barkhaus-Apotheke;;45768;Marl;akwl
Äskulap-Apotheke;;45770;Marl;akwl
Amts-Apotheke;;37696;Marienmünster;akwl
Mersch Apotheke Brüning;;44534;Lünen;akwl
Colosseum Apotheke Brüning;;44534;Lünen;akwl
Apotheke am Park OHG;;44536;Lünen;akwl
Alte Apotheke Küppersbusch;;44532;Lünen;akwl
Delphin-Apotheke;;44534;Lünen;akwl
Marien-Apotheke;;44534;Lünen;akwl
Elefanten-Apotheke;;44532;Lünen;akwl
vom Stein-Apotheke;;44534;Lünen;akwl
Luisen-Apotheke;;44536;Lünen;akwl
Markt-Apotheke;;44532;Lünen;akwl
Apotheke am Hauptbahnhof;;44534;Lünen;akwl
Süggel-Apotheke;;44532;Lünen;akwl
Steinbock-Apotheke OHG;;44536;Lünen;akwl
Sonnen-Apotheke;;44536;Lünen;akwl
Römer-Apotheke;;44534;Lünen;akwl
Park-Apotheke;;44532;Lünen;akwl
Paracelsus-Apotheke;;44536;Lünen;akwl
Löwen-Apotheke;;44536;Lünen;akwl
Glückauf-Apotheke Streich OHG;;44536;Lünen;akwl
Glückauf-Apotheke;;44532;Lünen;akwl
Barbara-Apotheke;;44532;Lünen;akwl
Bären-Apotheke;;44534;Lünen;akwl
Altstadt-Apotheke;;44534;Lünen;akwl
Adler-Apotheke;;44532;Lünen;akwl
Apotheke am Köterberg;;32676;Lügde;akwl
Marien-Apotheke;;32676;Lügde;akwl
Arminius-Apotheke;;32676;Lügde;akwl
Dr. Graute's- Wolfsbergapotheke;;59348;Lüdinghausen;akwl
Schwanen-Apotheke;;59348;Lüdinghausen;akwl
Markt-Apotheke;;59348;Lüdinghausen;akwl
Marien-Apotheke;;59348;Lüdinghausen;akwl
Bären-Apotheke;;59348;Lüdinghausen;akwl
Burg-Apotheke;;59348;Lüdinghausen;akwl
Lünsche Apotheke;;58507;Lüdenscheid;akwl
PLUSPUNKT APOTHEKE IM STERN-CENTER;;58511;Lüdenscheid;akwl
Franken-Apotheke;;58509;Lüdenscheid;akwl
Philipp-Apotheke;;58511;Lüdenscheid;akwl
Engel-Apotheke;;58507;Lüdenscheid;akwl
Apotheke zur Kluse;;58511;Lüdenscheid;akwl
Apotheke am Kulturhaus;;58511;Lüdenscheid;akwl
Apotheke am Grünewald;;58507;Lüdenscheid;akwl
Staberg-Apotheke;;58511;Lüdenscheid;akwl
Schwanen-Apotheke;;58507;Lüdenscheid;akwl
Reichsadler-Apotheke;;58511;Lüdenscheid;akwl
Rats-Apotheke;;58511;Lüdenscheid;akwl
Post-Apotheke;;58507;Lüdenscheid;akwl
Park-Apotheke;;58507;Lüdenscheid;akwl
Löwen-Apotheke;;58511;Lüdenscheid;akwl
Hirsch-Apotheke;;58507;Lüdenscheid;akwl
Bären-Apotheke;;58515;Lüdenscheid;akwl
Bräucken-Apotheke;;58511;Lüdenscheid;akwl
Adler-Apotheke;;58511;Lüdenscheid;akwl
Nord-Apotheke;;32312;Lübbecke;akwl
Apotheke Gehlenbeck;;32312;Lübbecke;akwl
Gänsemarkt-Apotheke;;32312;Lübbecke;akwl
Apotheke zum Amtsgericht;;32312;Lübbecke;akwl
Stern-Apotheke;;32312;Lübbecke;akwl
Neue Apotheke;;32312;Lübbecke;akwl
Hünenbrink-Apotheke;;32312;Lübbecke;akwl
Bahnhof-Apotheke;;32312;Lübbecke;akwl
Rats-Apotheke;;49504;Lotte;akwl
Westfalen-Apotheke;;49504;Lotte;akwl
Rosen-Apotheke;;49504;Lotte;akwl
Werre-Apotheke;;32584;Löhne;akwl
Wittekind-Apotheke;;32584;Löhne;akwl
Sonnen-Apotheke;;32584;Löhne;akwl
Schwanen-Apotheke;;32584;Löhne;akwl
Löwen-Apotheke;;32584;Löhne;akwl
Goethe-Apotheke;;32584;Löhne;akwl
Aesculap-Apotheke;;32584;Löhne;akwl
Adler-Apotheke;;32584;Löhne;akwl
Panorama-Apotheke;;59557;Lippstadt;akwl
Delfin-Apotheke;;59557;Lippstadt;akwl
Apotheke am Ev. Krankenhaus;;59555;Lippstadt;akwl
Apotheke im real,-;;59557;Lippstadt;akwl
Linden-Apotheke;;59558;Lippstadt;akwl
Apotheke am Bahnhof;;59555;Lippstadt;akwl
Rathaus-Apotheke;;59555;Lippstadt;akwl
Süd-Apotheke;;59557;Lippstadt;akwl
Sonnen-Apotheke;;59558;Lippstadt;akwl
City-Apotheke;;59555;Lippstadt;akwl
Markt-Apotheke;;59555;Lippstadt;akwl
Löwen-Apotheke;;59555;Lippstadt;akwl
Kur-Apotheke;;59556;Lippstadt;akwl
Königsau-Apotheke;;59555;Lippstadt;akwl
Graf-Bernhard-Apotheke;;59558;Lippstadt;akwl
Fortuna-Apotheke;;59556;Lippstadt;akwl
Einhorn-Apotheke;;59555;Lippstadt;akwl
Blumen-Apotheke;;59555;Lippstadt;akwl
Bären-Apotheke;;59557;Lippstadt;akwl
Lippe-Apotheke;;59510;Lippetal;akwl
Stephanus Apotheke;;59510;Lippetal;akwl
Brücken-Apotheke;;59510;Lippetal;akwl
Teuto-Apotheke;;49536;Lienen;akwl
Apotheke zur Robbe;;49536;Lienen;akwl
Buchentor-Apotheke;;49536;Lienen;akwl
Engel-Apotheke;;33165;Lichtenau;akwl
Amts-Apotheke Atteln;;33165;Lichtenau;akwl
Leopold-Apotheke;;33818;Leopoldshöhe;akwl
Apotheke am Rathaus;;33818;Leopoldshöhe;akwl
Rosen-Apotheke;;33818;Leopoldshöhe;akwl
farma-plus-Apotheke;;57368;Lennestadt;akwl
Apotheke am Schützenplatz;;57368;Lennestadt;akwl
Agatha-Apotheke;;57368;Lennestadt;akwl
Lenne-Apotheke;;57368;Lennestadt;akwl
Johannis-Apotheke;;57368;Lennestadt;akwl
Jakobus-Apotheke;;57368;Lennestadt;akwl
Barbara-Apotheke;;57368;Lennestadt;akwl
Bahnhof-Apotheke;;57368;Lennestadt;akwl
Alte Apotheke;;57368;Lennestadt;akwl
Gempt-Apotheke;;49525;Lengerich;akwl
Regenbogen-Apotheke;;49525;Lengerich;akwl
Sonnen-Apotheke;;49525;Lengerich;akwl
Ost-Apotheke;;49525;Lengerich;akwl
Fuchs-Apotheke;;49525;Lengerich;akwl
Falken-Apotheke;;49525;Lengerich;akwl
Engel-Apotheke;;49525;Lengerich;akwl
Altstadt-Apotheke;;49525;Lengerich;akwl
Medica-Apotheke;;32657;Lemgo;akwl
Leopold-Apotheke;;32657;Lemgo;akwl
Engelbert-Kämpfer-Apotheke;;32657;Lemgo;akwl
Sonnen-Apotheke;;32657;Lemgo;akwl
Apotheke am Johannistor;;32657;Lemgo;akwl
Stern-Apotheke;;32657;Lemgo;akwl
Schloss-Apotheke;;32657;Lemgo;akwl
Rosen-Apotheke;;32657;Lemgo;akwl
Rats-Apotheke;;32657;Lemgo;akwl
Einhorn-Apotheke;;32657;Lemgo;akwl
Aesculap Apotheke;;32657;Lemgo;akwl
Hubertus Apotheke;;48739;Legden;akwl
Lambertus-Apotheke;;33449;Langenberg;akwl
Ross-Apotheke;;32791;Lage;akwl
Westtor-Apotheke;;32791;Lage;akwl
Flora-Apotheke;;32791;Lage;akwl
Schwanen-Apotheke;;32791;Lage;akwl
Hirsch-Apotheke am Markt;;32791;Lage;akwl
Vital-Apotheke e.K.;;48366;Laer;akwl
Ewaldi-Apotheke;;48366;Laer;akwl
Apotheke am Rott;;49549;Ladbergen;akwl
Center-Apotheke;;57334;Bad Laasphe;akwl
Rothaar-Apotheke;;57334;Bad Laasphe;akwl
Lachsbach-Apotheke;;57334;Bad Laasphe;akwl
Stadt-Apotheke;;57334;Bad Laasphe;akwl
Rathaus-Apotheke;;57334;Bad Laasphe;akwl
Hof-Apotheke;;57334;Bad Laasphe;akwl
Kolumbus-Apotheke;;57223;Kreuztal;akwl
Ahorn-Apotheke;;57223;Kreuztal;akwl
Apotheke Ferndorf oHG;;57223;Kreuztal;akwl
Löwen-Apotheke oHG;;57223;Kreuztal;akwl
Linden-Apotheke Krombach;;57223;Kreuztal;akwl
Lerchen-Apotheke oHG;;57223;Kreuztal;akwl
Kindelsberg-Apotheke;;57223;Kreuztal;akwl
Apotheke am Bahnhof;;32278;Kirchlengern;akwl
Apotheke am Fiemer;;32278;Kirchlengern;akwl
Stifts-Apotheke;;32278;Kirchlengern;akwl
Löwen-Apotheke;;32278;Kirchlengern;akwl
farma-plus-Apotheke;;57399;Kirchhundem;akwl
Hundem-Apotheke;;57399;Kirchhundem;akwl
St.Valentin-Apotheke;;57399;Kirchhundem;akwl
Apotheke am Wildenkuhlen;;58566;Kierspe;akwl
Rauk-Apotheke;;58566;Kierspe;akwl
Post-Apotheke;;58566;Kierspe;akwl
Montigny-Apotheke;;58566;Kierspe;akwl
Adler-Apotheke;;58566;Kierspe;akwl
Vital-Apotheke am Förderturm;;59174;Kamen;akwl
Severins-Apotheke;;59174;Kamen;akwl
Süd-Apotheke;;59174;Kamen;akwl
Max & Moritz Apotheke;;59174;Kamen;akwl
Adler-Apotheke;;59174;Kamen;akwl
Apotheke am Kämertor;;59174;Kamen;akwl
Westentor-Apotheke;;59174;Kamen;akwl
Rathaus-Apotheke;;59174;Kamen;akwl
Neumarkt-Apotheke;;59174;Kamen;akwl
Märkische-Apotheke;;59174;Kamen;akwl
Kaiserau-Apotheke;;59174;Kamen;akwl
Barbara-Apotheke;;59174;Kamen;akwl
Apotheke im Kalletal;;32689;Kalletal;akwl
Schloss-Apotheke;;32689;Kalletal;akwl
Neue Apotheke;;32689;Kalletal;akwl
Linden-Apotheke;;32689;Kalletal;akwl
Markt-Apotheke;;46419;Isselburg;akwl
Glocken-Apotheke;;46419;Isselburg;akwl
Overweg-Apotheke;;58642;Iserlohn;akwl
Linden-Apotheke;;58640;Iserlohn;akwl
Mühlen-Apotheke;;58640;Iserlohn;akwl
Markt-Apotheke;;58636;Iserlohn;akwl
Apotheke im Kaufland;;58636;Iserlohn;akwl
MEDI-Apotheke;;58638;Iserlohn;akwl
Apotheke im real,-;;58638;Iserlohn;akwl
Ring-Apotheke;;58636;Iserlohn;akwl
Kuhlo-Apotheke;;58644;Iserlohn;akwl
Schwanen-Apotheke;;58636;Iserlohn;akwl
Schiller-Apotheke;;58636;Iserlohn;akwl
Marien-Apotheke;;58644;Iserlohn;akwl
Löwen-Apotheke;;58638;Iserlohn;akwl
Kant-Apotheke;;58642;Iserlohn;akwl
Hellweg-Apotheke;;58642;Iserlohn;akwl
Heide-Apotheke;;58640;Iserlohn;akwl
Glückauf-Apotheke;;58636;Iserlohn;akwl
Engel-Apotheke;;58636;Iserlohn;akwl
Einhorn-Apotheke;;58636;Iserlohn;akwl
Burg Apotheke;;58640;Iserlohn;akwl
Brunnen-Apotheke;;58642;Iserlohn;akwl
Bären-Apotheke Dr.Büser;;58642;Iserlohn;akwl
Adler-Apotheke;;58642;Iserlohn;akwl
Apotheke Köster;;58636;Iserlohn;akwl
Apotheke im Marktkauf;;49477;Ibbenbüren;akwl
St.Hildegard-Apotheke;;49477;Ibbenbüren;akwl
Apotheke Bockraden;;49477;Ibbenbüren;akwl
St. Anna-Apotheke;;49477;Ibbenbüren;akwl
Atlas-Apotheke;;49477;Ibbenbüren;akwl
Dickenberg-Apotheke;;49479;Ibbenbüren;akwl
Antonius-Apotheke;;49479;Ibbenbüren;akwl
BärenApotheke am Alten Posthof;;49477;Ibbenbüren;akwl
Marien-Apotheke;;49479;Ibbenbüren;akwl
Apotheke am Oberen Markt;;49477;Ibbenbüren;akwl
Stern-Apotheke;;49477;Ibbenbüren;akwl
St.Barbara-Apotheke;;49479;Ibbenbüren;akwl
Rosen-Apotheke;;49477;Ibbenbüren;akwl
Glückauf-Apotheke;;49477;Ibbenbüren;akwl
Wittekind-Apotheke;;32609;Hüllhorst;akwl
Amts-Apotheke;;32609;Hüllhorst;akwl
City-Apotheke;;48612;Horstmar;akwl
Hirsch Apotheke;;48612;Horstmar;akwl
Rats-Apotheke;;32805;Horn-Bad Meinberg;akwl
Wall-Apotheke;;32805;Horn-Bad Meinberg;akwl
Kronen-Apotheke;;32805;Horn-Bad Meinberg;akwl
Bad-Apotheke;;32805;Horn-Bad Meinberg;akwl
Globus-Apotheke OHG;;48496;Hopsten;akwl
Avie Apotheke im Borsig-Center;;59439;Holzwickede;akwl
Rathaus-Apotheke;;59439;Holzwickede;akwl
Allee-Apotheke;;59439;Holzwickede;akwl
Apotheke am Ansgar;;37671;Höxter;akwl
Kiliani-Apotheke;;37671;Höxter;akwl
Wemmel's Apotheke;;37671;Höxter;akwl
Rats-Apotheke;;37671;Höxter;akwl
Petri-Apotheke;;37671;Höxter;akwl
Marien-Apotheke;;37671;Höxter;akwl
Malteser-Apotheke;;37671;Höxter;akwl
Hansa-Apotheke;;37671;Höxter;akwl
Corvinus-Apotheke;;37671;Höxter;akwl
Eichen-Apotheke;;33161;Hövelhof;akwl
Senne-Apotheke;;33161;Hövelhof;akwl
Ems-Apotheke;;33161;Hövelhof;akwl
Reinhildis-Apotheke;;48477;Hörstel;akwl
Antonius Apotheke;;48477;Hörstel;akwl
Marien-Apotheke;;48477;Hörstel;akwl
Linden-Apotheke;;48477;Hörstel;akwl
Kreuz-Apotheke;;48477;Hörstel;akwl
Burg-Apotheke;;48477;Hörstel;akwl
Mühlen-Apotheke;;32479;Hille;akwl
Wiehen-Apotheke;;32479;Hille;akwl
Stahlberg-Apotheke;;57271;Hilchenbach;akwl
Stadt-Apotheke;;57271;Hilchenbach;akwl
Ginsburg-Apotheke;;57271;Hilchenbach;akwl
Elch-Apotheke;;57271;Hilchenbach;akwl
Wittekind-Apotheke;;32120;Hiddenhausen;akwl
Werre-Apotheke;;32120;Hiddenhausen;akwl
Sonnen-Apotheke;;32120;Hiddenhausen;akwl
Reesberg-Apotheke;;32120;Hiddenhausen;akwl
Linden-Apotheke;;32120;Hiddenhausen;akwl
Marien-Apotheke;;33442;Herzebrock-Clarholz;akwl
Christopherus-Apotheke;;33442;Herzebrock-Clarholz;akwl
Alte Apotheke;;33442;Herzebrock-Clarholz;akwl
Viva-Apotheke Dr. Rückstein;;45699;Herten;akwl
Forum-Apotheke OHG;;45699;Herten;akwl
Apotheke im Cirkel;;45699;Herten;akwl
abc apotheke;;45701;Herten;akwl
Süd-Apotheke;;45699;Herten;akwl
Ahorn-Apotheke;;45699;Herten;akwl
Distel-Apotheke;;45699;Herten;akwl
Bären-Apotheke;;45699;Herten;akwl
Rathaus-Apotheke;;45701;Herten;akwl
Phönix-Apotheke;;45701;Herten;akwl
Nord-Apotheke;;45701;Herten;akwl
Martinus-Apotheke OHG;;45701;Herten;akwl
Heide-Apotheke;;45699;Herten;akwl
Glückauf-Apotheke;;45701;Herten;akwl
City-Apotheke;;45699;Herten;akwl
Bußmann's Barbara-Apotheke;;45701;Herten;akwl
Antonius-Apotheke;;45699;Herten;akwl
Markt-Apotheke;;45699;Herten;akwl
Dorf-Apotheke;;58849;Herscheid;akwl
Convita-Apotheke am EvK Eickel;;44651;Herne;akwl
Kompass-Apotheke am EvK;;44623;Herne;akwl
Convita-Apotheke an der Akademie;;44627;Herne;akwl
DIE NEUE APOTHEKE in der BAHNHOFSTRASSE;;44623;Herne;akwl
Alpha-Apotheke;;44651;Herne;akwl
Ahorn-Apotheke;;44649;Herne;akwl
Apotheke an der Kreuzkirche;;44623;Herne;akwl
Pinguin-Apotheke;;44623;Herne;akwl
Apotheke am Stadtgarten;;44649;Herne;akwl
DIE NEUE APOTHEKE in SODINGEN;;44627;Herne;akwl
Süd-Apotheke;;44652;Herne;akwl
Sonnen-Apotheke;;44623;Herne;akwl
Ruhr-Apotheke;;44649;Herne;akwl
Rathaus-Apotheke;;44623;Herne;akwl
Neue Phönix-Apotheke in Herne;;44623;Herne;akwl
Paracelsus-Apotheke;;44649;Herne;akwl
Neumarkt-Apotheke;;44623;Herne;akwl
DIE NEUE APOTHEKE am BUSBAHNHOF HERNE MITTE;;44623;Herne;akwl
Markt-Apotheke;;44651;Herne;akwl
Kronen-Apotheke;;44623;Herne;akwl
Horst-Apotheke;;44625;Herne;akwl
Haranni-Apotheke;;44623;Herne;akwl
Glocken-Apotheke;;44651;Herne;akwl
Flora-Apotheke in Crange;;44649;Herne;akwl
Engel-Apotheke;;44623;Herne;akwl
Panda-Apotheke;;44651;Herne;akwl
Blaue Apotheke Herne;;44623;Herne;akwl
Berg- und Hütten-Apotheke;;44627;Herne;akwl
Bahnhof-Apotheke;;44629;Herne;akwl
Flora-Apotheke in Eickel;;44651;Herne;akwl
Aesculap-Apotheke;;44625;Herne;akwl
Vital-Apotheke im Marktkauf;;32051;Herford;akwl
Merkur-Apotheke;;32051;Herford;akwl
Sonnen-Apotheke;;32049;Herford;akwl
Apotheke Berliner Strasse;;32052;Herford;akwl
Apotheke am Renntor;;32052;Herford;akwl
Uhland-Apotheke;;32051;Herford;akwl
Stern-Apotheke;;32052;Herford;akwl
Pinguin-Apotheke;;32049;Herford;akwl
Neustädter Apotheke;;32052;Herford;akwl
Mohren-Apotheke;;32049;Herford;akwl
Mönch-Apotheke;;32052;Herford;akwl
Marien-Apotheke;;32049;Herford;akwl
Hubertus-Apotheke;;32052;Herford;akwl
Arminius-Apotheke;;32049;Herford;akwl
Altstädter-Apotheke;;32052;Herford;akwl
Adler-Apotheke;;32052;Herford;akwl
Sonnen-Apotheke;;58313;Herdecke;akwl
Apotheke Auf dem Schnee;;58313;Herdecke;akwl
Post-Apotheke;;58313;Herdecke;akwl
Löwen-Apotheke;;58313;Herdecke;akwl
Bismarck-Apotheke;;58313;Herdecke;akwl
Adler-Apotheke;;58313;Herdecke;akwl
Avie-Apotheke im Medio-Center;;58675;Hemer;akwl
Urbecker-Apotheke im real-;;58675;Hemer;akwl
Brunnen-Apotheke;;58675;Hemer;akwl
Apotheke am Alten Amt;;58675;Hemer;akwl
Westiger-Apotheke;;58675;Hemer;akwl
Storchen-Apotheke;;58675;Hemer;akwl
Sonnen-Apotheke;;58675;Hemer;akwl
Hönnetal-Apotheke;;58675;Hemer;akwl
PLUSPUNKT APOTHEKE HEMER;;58675;Hemer;akwl
Düwelsteen-Apotheke;;46359;Heiden;akwl
Maiboeken-Apotheke;;46359;Heiden;akwl
Ludgeri-Apotheke;;48619;Heek;akwl
Blick-Apotheke;;48329;Havixbeck;akwl
